miRNA	DSC_27_23_EKB_20250506_1	DSC_27_23_EKB_20250506_2	DSC_28_23_EKB_20250502_1	DSC_28_23_EKB_20250502_2	DSC_29_23_EKB_20250502_1	DSC_29_23_EKB_20250502_2	DSC_30_23_EKB_20250506_1	DSC_30_23_EKB_20250506_2	DSC_31_23_EKB_20250506_1	DSC_31_23_EKB_20250506_2	DSC_32_23_EKB_20250507_1	DSC_32_23_EKB_20250507_2	Melanocytes_27_23_EKB_20250502_1	Melanocytes_27_23_EKB_20250502_2	Melanocytes_29_23_EKB_20250506_1	Melanocytes_29_23_EKB_20250506_2	Melanocytes_30_23_EKB_20250502_1	Melanocytes_30_23_EKB_20250502_2	Melanocytes_31_23_EKB_20250507_1	Melanocytes_31_23_EKB_20250507_2	Melanocytes_32_23_EKB_20250507_1	Melanocytes_32_23_EKB_20250507_2
hsa-miR-320d	19	27	39	25	61	17	40	30	170	127	54	53	2	8	1	4	3	2	22	14	6	5
hsa-miR-184	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	2	2	3	2	0	1	1
hsa-miR-6818-5p	0	1	2	5	1	3	1	2	2	3	2	1	0	0	0	0	1	1	1	1	5	1
hsa-miR-570-3p	8	8	6	12	13	13	10	3	35	20	12	7	3	4	5	8	19	17	42	16	34	59
hsa-miR-7153-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3925-5p	0	6	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	3	7	0	1	0
hsa-miR-146a-5p	848	1208	11025	6023	18770	10612	10824	8916	48790	48440	18772	21794	41059	103166	107678	130798	80108	100552	235185	135252	351752	370056
hsa-miR-1262	2	6	12	8	28	16	6	20	30	16	11	17	2	9	12	10	1	0	7	6	14	18
hsa-miR-4524a-3p	0	0	0	0	0	0	0	1	0	1	2	0	0	1	0	1	0	0	0	0	0	1
hsa-miR-147b-5p	1	0	0	0	1	0	1	1	2	0	0	1	0	0	0	0	1	0	0	0	0	1
hsa-miR-631	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	3	1	0	2	2	5	0
hsa-miR-3668	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0
hsa-miR-219a-1-3p	4	1	7	4	6	6	9	4	9	14	7	3	6	3	1	5	1	1	9	4	9	6
hsa-miR-548ag	3	0	1	0	5	5	0	0	1	1	2	0	0	0	3	4	1	2	1	0	3	11
hsa-miR-6074	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3150b-3p	0	0	1	1	4	1	0	0	3	1	0	2	0	6	0	0	0	2	3	0	1	0
