task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1414	13/65b0e3	1976281	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_GFF (m11)	COMPLETED	0	2026-08-28 11:30:13.356	5s	4.5s	143.4%	174.7 MB	3.7 GB	49.4 MB	13.4 MB
1418	55/9b4d84	1981869	NFCORE_SMRNASEQ:MIRNA_QUANT:PIVOT_LONGER (m3)	COMPLETED	0	2026-08-28 11:30:18.345	1.9s	1.3s	384.5%	83.4 MB	2.8 GB	29.4 MB	1.2 MB
1419	43/b41e64	1984464	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_STATS (m11)	COMPLETED	0	2026-08-28 11:30:19.403	1.6s	1.1s	294.0%	98.6 MB	2.8 GB	34.4 MB	153.4 KB
1421	7d/ff0478	1984472	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_EXPORT (m11)	COMPLETED	0	2026-08-28 11:30:19.409	2.2s	1.7s	220.3%	95.7 MB	2.8 GB	35.1 MB	810.8 KB
1420	3e/3f7d2a	1984466	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_COUNTS (m11)	COMPLETED	0	2026-08-28 11:30:19.406	2.2s	1.6s	207.1%	107 MB	2.8 GB	35.1 MB	1.4 MB
591	a1/39384b	1975950	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (m16)	COMPLETED	0	2026-08-28 11:30:13.021	10.7s	10.1s	502.1%	31.4 MB	25.2 GB	186.6 MB	195.9 MB
1422	cd/0ce9ee	1986134	NFCORE_SMRNASEQ:MIRNA_QUANT:PIVOT_LONGER (m11)	COMPLETED	0	2026-08-28 11:30:22.651	1.8s	1.3s	458.6%	25.8 MB	2.8 GB	29.4 MB	1.3 MB
592	37/be307d	1988916	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (m2)	COMPLETED	0	2026-08-28 11:30:23.768	5.5s	5s	490.3%	30.6 MB	25.2 GB	108.3 MB	108.1 MB
1423	07/c66dfb	1989388	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_GFF (m16)	COMPLETED	0	2026-08-28 11:30:24.423	6.6s	6.1s	119.4%	281.6 MB	3.7 GB	73.7 MB	28.8 MB
1427	bc/d4142e	1991202	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_STATS (m16)	COMPLETED	0	2026-08-28 11:30:32.046	1.7s	1.2s	287.8%	97.4 MB	2.8 GB	36 MB	153.4 KB
1426	22/59ac1d	1991205	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_EXPORT (m16)	COMPLETED	0	2026-08-28 11:30:32.050	2.5s	1.9s	189.9%	95.9 MB	2.8 GB	36.7 MB	1.2 MB
1425	47/b7ff79	1991203	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_COUNTS (m16)	COMPLETED	0	2026-08-28 11:30:32.049	2.6s	2s	169.5%	103.2 MB	2.8 GB	36.7 MB	2.1 MB
1424	c0/993ee6	1990562	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_GFF (m2)	COMPLETED	0	2026-08-28 11:30:30.264	5.1s	4.6s	142.9%	201.7 MB	3.7 GB	54.5 MB	17.9 MB
593	84/c82cd5	1990202	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (m5)	COMPLETED	0	2026-08-28 11:30:29.259	7.4s	6.9s	492.6%	30.6 MB	25.2 GB	141.7 MB	144.9 MB
1428	05/dd07ec	1993014	NFCORE_SMRNASEQ:MIRNA_QUANT:PIVOT_LONGER (m16)	COMPLETED	0	2026-08-28 11:30:35.406	1.8s	1.3s	436.9%	57.8 MB	2.8 GB	29.4 MB	2.1 MB
1431	03/2ab414	1995628	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_STATS (m2)	COMPLETED	0	2026-08-28 11:30:36.410	2.3s	1.6s	191.8%	63.5 MB	2.8 GB	35.4 MB	153.3 KB
1430	42/840cd1	1995654	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_COUNTS (m2)	COMPLETED	0	2026-08-28 11:30:36.415	3s	2.4s	163.8%	99.3 MB	2.8 GB	36 MB	1.8 MB
1429	16/b7f774	1995634	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_EXPORT (m2)	COMPLETED	0	2026-08-28 11:30:36.413	3s	2.4s	153.3%	95.6 MB	2.8 GB	36 MB	1 MB
1433	9d/20e138	1998328	NFCORE_SMRNASEQ:MIRNA_QUANT:PIVOT_LONGER (m2)	COMPLETED	0	2026-08-28 11:30:39.416	1.8s	1.3s	376.5%	31.5 MB	2.8 GB	29.4 MB	1.8 MB
1432	1b/cc85a7	1996812	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_GFF (m5)	COMPLETED	0	2026-08-28 11:30:37.223	5.8s	5.3s	134.6%	235.3 MB	3.7 GB	61.1 MB	21.2 MB
594	4f/3c5b5a	1995933	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (m8)	COMPLETED	0	2026-08-28 11:30:36.639	8.2s	7.5s	528.7%	30.9 MB	25.2 GB	147.1 MB	150.9 MB
1435	4f/218485	2001627	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_STATS (m5)	COMPLETED	0	2026-08-28 11:30:44.055	1.9s	1.3s	232.6%	89.7 MB	2.8 GB	35.4 MB	153.3 KB
1436	7e/07a0c1	2001628	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_COUNTS (m5)	COMPLETED	0	2026-08-28 11:30:44.058	2.8s	2.2s	167.3%	102.2 MB	2.8 GB	36.1 MB	1.8 MB
1434	8b/831a1a	2001633	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_EXPORT (m5)	COMPLETED	0	2026-08-28 11:30:44.060	2.9s	2.4s	154.5%	96 MB	2.8 GB	36.1 MB	1 MB
1438	4e/e9c69c	2004055	NFCORE_SMRNASEQ:MIRNA_QUANT:PIVOT_LONGER (m5)	COMPLETED	0	2026-08-28 11:30:47.009	2s	1.5s	331.3%	79.2 MB	2.8 GB	29.4 MB	1.8 MB
1437	17/323f20	2003078	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_GFF (m8)	COMPLETED	0	2026-08-28 11:30:45.813	5.8s	5.2s	135.8%	243 MB	3.7 GB	62.4 MB	21.8 MB
596	6d/fb2c12	2002446	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (m6)	COMPLETED	0	2026-08-28 11:30:44.808	8.6s	8.1s	494.8%	31.2 MB	25.2 GB	162 MB	167 MB
1440	23/6b104f	2007618	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_STATS (m8)	COMPLETED	0	2026-08-28 11:30:52.638	1.9s	1.3s	205.6%	81.6 MB	2.8 GB	35.3 MB	153.3 KB
1439	d3/00e328	2007621	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_EXPORT (m8)	COMPLETED	0	2026-08-28 11:30:52.642	2.7s	2.1s	169.6%	95.8 MB	2.8 GB	36 MB	1 MB
1441	30/340441	2007619	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_COUNTS (m8)	COMPLETED	0	2026-08-28 11:30:52.640	2.7s	2.1s	150.0%	102.8 MB	2.8 GB	36 MB	1.8 MB
1443	41/b7cb08	2010155	NFCORE_SMRNASEQ:MIRNA_QUANT:PIVOT_LONGER (m8)	COMPLETED	0	2026-08-28 11:30:56.371	1.9s	1.4s	350.1%	80.1 MB	2.8 GB	29.4 MB	1.8 MB
1442	96/6c3b36	2009011	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_GFF (m6)	COMPLETED	0	2026-08-28 11:30:54.379	5.7s	5.2s	139.0%	252.7 MB	3.7 GB	64.7 MB	22.1 MB
1444	71/db2bce	2013590	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_STATS (m6)	COMPLETED	0	2026-08-28 11:31:01.117	1.6s	1.1s	286.9%	14 MB	23.2 MB	34.9 MB	153.3 KB
595	e6/a83a98	2008392	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (m10)	COMPLETED	0	2026-08-28 11:30:53.374	9.7s	9.3s	505.5%	31.4 MB	25.2 GB	178.1 MB	185.8 MB
1445	50/daa090	2013591	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_COUNTS (m6)	COMPLETED	0	2026-08-28 11:31:01.119	2.3s	1.7s	213.9%	103 MB	2.8 GB	35.6 MB	1.6 MB
1446	42/b0dd3d	2013593	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_EXPORT (m6)	COMPLETED	0	2026-08-28 11:31:01.121	2.3s	1.7s	221.8%	96 MB	2.8 GB	35.6 MB	933 KB
1448	1d/b2d541	2015166	NFCORE_SMRNASEQ:MIRNA_QUANT:PIVOT_LONGER (m6)	COMPLETED	0	2026-08-28 11:31:03.460	2.4s	1.9s	234.1%	37.4 MB	2.8 GB	29.4 MB	1.5 MB
597	9c/a2b097	2014948	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (m19)	COMPLETED	0	2026-08-28 11:31:03.114	5.7s	5.1s	521.3%	30.4 MB	25.2 GB	106.8 MB	106.3 MB
1447	5f/e10d90	2015112	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_GFF (m10)	COMPLETED	0	2026-08-28 11:31:03.393	6.8s	6.2s	116.9%	275.4 MB	3.7 GB	70.3 MB	27.2 MB
1451	e4/bc13fb	2020047	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_STATS (m10)	COMPLETED	0	2026-08-28 11:31:11.234	1.7s	1.1s	296.0%	101.6 MB	2.8 GB	36 MB	153.4 KB
1452	85/9ef730	2020054	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_EXPORT (m10)	COMPLETED	0	2026-08-28 11:31:11.238	2.5s	1.9s	212.8%	96 MB	2.8 GB	36.7 MB	1.2 MB
1450	54/a32e8c	2020048	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_COUNTS (m10)	COMPLETED	0	2026-08-28 11:31:11.237	2.5s	2s	196.3%	103.3 MB	2.8 GB	36.7 MB	2.2 MB
1449	32/1ad43b	2019344	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_GFF (m19)	COMPLETED	0	2026-08-28 11:31:09.806	4.6s	4.1s	152.4%	201.2 MB	3.7 GB	53.9 MB	16 MB
598	a4/b98087	2018969	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (m18)	COMPLETED	0	2026-08-28 11:31:08.802	5.7s	5.3s	471.5%	30 MB	25.2 GB	109.9 MB	109.5 MB
1455	6f/81e76e	2021923	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_STATS (m19)	COMPLETED	0	2026-08-28 11:31:14.538	2.2s	1.6s	143.9%	62.8 MB	2.8 GB	34.6 MB	153.4 KB
1453	13/eba528	2021804	NFCORE_SMRNASEQ:MIRNA_QUANT:PIVOT_LONGER (m10)	COMPLETED	0	2026-08-28 11:31:14.368	2.4s	1.9s	223.2%	44.9 MB	2.8 GB	29.4 MB	2.1 MB
1456	14/e35c73	2021929	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_COUNTS (m19)	COMPLETED	0	2026-08-28 11:31:14.540	2.8s	2.3s	191.6%	98.8 MB	2.8 GB	35.3 MB	1.5 MB
1454	54/1178b6	2021939	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_EXPORT (m19)	COMPLETED	0	2026-08-28 11:31:14.541	2.9s	2.2s	175.9%	95.7 MB	2.8 GB	35.3 MB	853.1 KB
1458	01/dac4a2	2026991	NFCORE_SMRNASEQ:MIRNA_QUANT:PIVOT_LONGER (m19)	COMPLETED	0	2026-08-28 11:31:17.443	1.7s	1.3s	446.6%	38.7 MB	2.8 GB	29.4 MB	1.4 MB
600	6f/c5d43f	2021919	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (m17)	COMPLETED	0	2026-08-28 11:31:14.535	5s	4.3s	538.1%	30.2 MB	25.2 GB	84.5 MB	81.7 MB
1457	74/9bedce	2024658	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_GFF (m18)	COMPLETED	0	2026-08-28 11:31:15.546	4.2s	3.5s	149.2%	199.1 MB	3.7 GB	53.8 MB	13.7 MB
1461	7b/5336b3	2030629	NFCORE_SMRNASEQ:MIRNA_QUANT:BAM_STATS_MIRNA_MIRTOP:MIRTOP_STATS (m18)	COMPLETED	0	2026-08-28 11:31:20.709	2.4s	1.7s	140.6%	63.3 MB	2.8 GB	33.4 MB	153.3 KB
